Review_ID,Date,Rating,Review_Language,Version,Review_Likes,Review
0,2022-04-20 11:38:29,1,en,20.37.2,0,"Worst bank on the planet. Liars, cheats, and theifs, they sell your info to scammers, they get frauded more then any other bank, do your research.. they told me my account was closed and i found out a week later was still active.. they refuse to close it.. they shouldn't be allowed to have a business at all.."
1,2023-03-25 19:10:42,5,en,20.47.0,0,App is great.
2,2022-05-31 00:54:40,1,en,20.38.1,0,Barely works. Barely. Stopped giving out notifications after most recent update and now 2SV doesn't work 👍
3,2021-06-18 13:16:44,5,en,20.27.0,0,Really easy for a technophobe
4,2023-11-29 13:54:17,1,en,2310.0.1,0,Sucks
5,2021-09-19 12:32:37,5,en,20.30.1,0,"Now I can use my fingerprints to log on, just made my experience even better"
6,2022-04-09 11:49:39,1,en,20.37.1,0,The cheque deposit is literally the worst. It used to work no problem and now it never works. Please fix this.
7,2021-01-29 20:58:49,5,en,20.21.1,0,Yup
8,2024-01-18 07:36:55,5,en,2311.0.1,0,"Wonderful! Service good, Bonuses nice!"
9,2023-04-03 07:15:18,5,en,20.48.0,0,"Well organized, easy to use app"
10,2021-01-04 05:21:00,1,en,20.21.1,0,THIS IS TERABLE
11,2023-12-13 23:43:43,5,en,2311.0.0,0,This app has a bug and closes after signing in
12,2021-06-13 09:53:34,1,en,20.27.0,0,"Cannot login, keep crashing"
13,2023-09-29 05:51:22,2,en,2309.0.0,0,it does not update the balance right away
14,2021-01-24 16:05:46,3,en,20.21.1,0,Needs to be improve
15,2023-08-22 03:00:41,1,en,,0,Who cares???
16,2022-10-10 17:42:45,2,en,20.43.0,0,It'd be faster to switch banks then to load in to the app.
17,2021-12-30 12:18:08,1,en,20.34.3,0,Poor experience depositing cheque
18,2021-09-10 10:42:44,5,en,20.30.1,0,Very rewarding
19,2021-06-04 10:47:02,1,en,20.26.0,0,Useless app
20,2021-03-01 10:56:52,5,en,20.24.0,0,Very homie ! I stay every month and don't plan on ever changing. Plenty of food options walking distance.
21,2022-01-11 09:08:40,1,en,20.34.3,1,"Can't even log on to the app now. Input my password info and it just loads for minutes on end, never getting to the 2SV step. Great work Scotia."
22,2023-12-27 17:36:00,4,en,2311.0.1,0,"I have been using this app for almost a year now. So far never faced a prob, though it goes out of service multiple times in a week."
23,2023-05-31 16:09:54,1,en,2305.0.0,1,"Still broken. Can't make payments. Says ""first time making online payments? We can help with that"" and then gets an error and says to call them. I called and they couldn't help. It's not my first time making payments, it worked fine until about a year ago. And this garbage app still isn't fixed."
24,2022-01-07 09:25:22,3,en,20.34.3,1,"Like many others, I can't get the cheque deposit picture feature to work. Even more frustrating, I can't get the auto capture function to turn off."
25,2022-03-05 17:03:24,4,en,20.36.0,0,Excellent
26,2021-08-03 01:49:57,5,en,,0,Wonderful
27,2021-04-22 10:58:17,5,en,20.25.1,0,Amazingly easy. I love the prompts while taking the photos and the auto shoot feature. Well done!
28,2023-05-02 12:53:44,1,en,20.48.0,0,I hope not
29,2021-05-01 10:09:08,2,en,20.25.1,0,Because do stuff on thing take days to fix
30,2022-04-07 00:21:17,1,en,20.37.1,0,"I have had it with this horrible, untrustworthy, unreliable bank. I will be closing my account asap."
31,2023-10-06 14:17:25,1,en,2309.0.0,0,really $5 charge to deposit money. that's bunk
32,2021-07-26 00:16:48,5,en,20.28.0,0,Easy to use ...and most secured
33,2021-10-31 22:47:01,5,en,,0,Excelente
34,2021-11-15 10:49:54,4,en,20.32.0,0,Good value for the price thought that the breakfast could be a little more plentiful compared to other hotel breakfasts            
35,2022-06-27 21:08:31,5,en,20.39.1,0,"Sleek, easy to use design."
36,2022-08-11 09:27:32,1,en,20.41.0,1,Poor user interface response from most recent updated version
37,2021-01-27 11:30:14,5,en,20.21.1,0,"Great service, they aim to make people happy and do their best to meet your needs"
38,2021-02-15 08:09:03,1,en,20.23.0,0,":( They're closing our Pemberton BC, Branch w/ no consultation when we complained Regional staff had rude call in meeting laughted at us when they thought mikes were muted. Will miss gr8 local staff. Recordings on telebanking suggest renew mortgages in app. Really no negotiations! Whoever accepts 1st rate offered. We didn't. After printing out competitors rates, several drop-ins &2 appointments in person we got a decent rates. App is poor substitute for live staff !!!"
39,2023-12-14 21:33:28,2,en,2311.0.0,0,lots of errors
40,2021-04-09 14:24:38,5,en,20.25.1,0,Very simple and reliable.
41,2023-03-23 12:53:22,4,en,20.47.0,0,"Older hotel, down town location which was inconvenient from the highway. Rooms were really clean, comfy beds but breakfast was limited for a hot breakfast."
42,2023-12-05 11:30:44,1,en,,0,No Longer let's me sign in. Scotiabank can't even figure it out. It's an app issue.
43,2023-10-04 15:44:22,2,en,2309.0.0,3,Cheque deposit works now. The recent problem is in regard to the minimum amount required in the momentum account. Bill payments often come out near midnight and sometimes that brings the account below the minimum. Then you get charged the account fee because you're below the minimum. The amount in the account should be calculated at a certain time (end of business day perhaps) rather than at midnight on the calendar day
44,2022-03-28 03:25:16,3,en,20.36.2,2,"I can't transfer money between my accounts on either my mobile app or when access through web browser on my mobile. Also, when I sign in to my Scotia app I cant log on until I sign on to the two steps password."
45,2022-05-26 08:50:08,1,en,20.34.1,0,Highly unstable and poorly designed app. With tons of bugs and instability.
46,2021-03-17 13:19:39,5,en,20.24.0,0,"Easy to use app, for all at home banking needs."
47,2021-09-06 13:50:35,1,en,20.30.1,0,The app won't open on my Samsung galaxy s20 Fe
48,2022-09-20 01:27:31,2,en,20.42.1,0,Has alot of glitches. I'd transfer money into another account and my total would show double the money. Also the nightly maintenance is hella annoying. I can't access certain accounts or do any transfers while its going on.
49,2023-03-25 10:08:49,5,en,20.48.0,0,"Does everything that I need, and is easy enough for me to understand."
50,2021-03-04 19:56:46,2,en,20.24.0,8,"App is trash, I always spend 20 mins plus trying to deposit a cheque by taking a photo. Always on a dark surface, well lit, all corners in frame, everything it states to do but yet it can never deposit. I always end up having to go to an atm or in branch, what's the point of the feature. Super frustrating..."
51,2023-04-04 14:20:50,5,en,20.48.0,0,Great banking on mobile app never had any problems
52,2022-10-05 22:15:05,5,en,20.43.0,0,Pleasant
53,2021-09-02 17:49:18,5,en,20.30.1,0,Works well
54,2022-11-19 18:36:06,1,en,20.44.2,52,"App kept crashing when I tried e-transfer. Uninstalled and reinstalled. Put in proper credentials. Says sent 2 step verification to phone but never got a notification. Checked phone ALL notifications allowed. Still no 2 step. App is garbage waste of time!! It's now a month or so later still same garbage force us to use 2SV and an app that doesn't even work properly. Thanks a lot Scotiabank after 35+ years of a great service, you had to turn it into garbage!!!"
55,2022-03-07 17:57:37,1,en,20.36.1,2,Almost a week and this new update today still hasn't fixed anything on the app. Still closes on its own. The quick balance widget didn't work at all. At this point I'm thinking of finding a new bank.
56,2022-02-16 00:36:41,1,en,20.35.0,0,This app rarely ever works. 98% of the time I sign in it says error cannot show accounts please try later. What's the point of this app if I can't even view my balances?
57,2023-01-05 12:20:46,5,en,20.45.1,0,Great service
58,2023-03-18 13:32:21,3,en,,0,Where is on my screen on this phone s22
59,2022-01-10 19:24:40,2,en,20.34.3,0,Seems like they fixed the cheque depositing issues. Unless it was a fluke. Still took well over a month but they did in fact (maybe) fix it.
60,2022-01-14 19:41:06,1,en,20.34.4,0,"The 2VS is awful. It's forced me to activate to access my account, then locks me out asking for a pin or password that is never set up or explained beforehand. Now the website locks me out too, effectively cutting me off from access to my account."
61,2021-05-17 09:35:55,2,en,,0,For awhile their everything was working fine ... but these last few months since the new update has been horrible tells me I put the wrong information down than logs me out! I would have to unstall than re install it 24 hours later I can login perfectly fine but hate how it happens once a week!!!
62,2023-03-09 18:38:41,2,en,20.47.0,0,"App tends to go into maintenance mode very often very early in the morning and unable to see what your balance is. Other then that app works fine. Can deposite cheques from taking a photo of it, easy etransfers, cn transfer between cards without much effort."
63,2023-03-03 09:36:56,5,en,20.47.0,0,Clear and simple operation.
64,2021-04-26 10:46:05,5,en,,0,Awesome
65,2022-01-12 17:22:48,1,en,20.34.3,1,I find it absolutely terrible. I ha e other bank accounts no problems. SB never seems to want to see the chq through my phone. Never had problems until the last fee months. Can take me 30 mins to keep trying to deposit a chq. I HATE It.
66,2022-05-22 20:34:43,2,en,20.38.1,1,Annoying frequent and required password resets.
67,2023-01-28 12:08:39,1,en,20.46.1,5,Jan 2023: This app deserves exactly ZERO stars. Now it keeps crashing when setting up their 2SV (i.e. 2FA) and I can't access my account in a browser because it requires the app for 2SV which is crashing..... So now I can't access my money AT ALL !!!! Also crashes when trying to take a picture of a cheque to deposit. 2019: No future date bill payments ??!! And I uninstalled the old app and can't get it anymore. Time to switch banks. Or bring the old app back until the new one is fixed !!
68,2021-08-18 13:14:40,5,en,20.29.0,0,"when returning to the palm beach, dubai would not consider any other accomodation and willmseek other Holiday Innth,s when travelling"
69,2023-10-20 09:02:32,1,en,2309.0.0,0,"Havent been able to access the app in days, keeps crashing"
70,2022-06-01 09:01:11,1,en,20.38.1,0,Takes forever to log on ever since they change to use fingerprints. Slow and unusable.
71,2021-04-01 20:32:15,2,en,20.25.1,0,Doesnt work as well as other banks and always has errors or check later or not available now issues....
72,2022-07-01 13:58:08,5,en,20.40.1,0,Easy
73,2023-01-25 09:02:06,5,en,,0,Great
74,2021-11-18 12:13:53,4,en,20.31.1,0,I like this app
75,2022-12-02 08:56:50,5,en,20.44.4,0,Good
76,2021-05-31 17:28:17,5,en,20.26.0,0,Excellent
77,2023-02-17 19:49:08,5,en,,0,Great app once used to it
78,2021-08-30 22:49:17,4,en,20.30.1,0,Its a good app. Real easy to use.
79,2024-01-07 14:19:13,1,en,2311.0.1,0,"Fix your app, I should need to verify that this is my cell phone everytime I want to use the app"
80,2023-06-03 14:24:30,5,en,2305.0.0,0,"I have been given excellent service, and they provide kind consideration for users."
81,2021-01-29 12:31:20,5,en,20.21.1,0,Easy breezy
82,2021-07-02 19:04:00,5,en,,0,Easy to use
83,2023-04-19 20:46:44,5,en,20.48.0,0,very easy user experience . love the app
84,2023-04-28 08:04:02,2,en,20.48.0,0,App confusing
85,2021-06-07 12:35:57,5,en,20.26.0,0,Makes manageing my account very easy
86,2021-03-18 10:31:16,5,en,20.24.0,0,Awesome!
87,2021-04-05 13:52:14,5,en,20.25.1,0,Good
88,2023-12-27 13:16:39,5,en,2311.0.1,0,No Comments for now everything is fine still no Problem
89,2022-12-01 15:02:41,1,en,20.44.4,0,Probably one of if not the most broken basic app made by a billion dollar company ever. It has not worked properly for any length of time since it came out and every teller is instructed to push you to this broken system.
90,2022-01-11 20:11:16,1,en,20.34.3,1,Depositing a chq is a living hell.
91,2021-12-03 15:36:23,2,en,20.33.2,1,"Twice now since May, I've opened the app and see a message, ""Sorry, app needs to be uninstalled & and reinstalled."" Can't sign in at all until I do. So I reinstall it, and login and it says it needs to use 2SA, but that doesn't work since I reinstalled it. So I go through and verify its me to remove 2SA. After that, when I go to login it says I HAVE to activate 2SA, or else it won't let me in. That makes me feel I've been hacked/scammed. Otherwise, decent app."
92,2023-04-25 20:03:23,4,en,20.48.0,0,nice 💯
93,2021-01-05 18:53:59,5,en,20.21.1,0,Fantabulos!
94,2022-06-09 10:14:11,1,en,20.39.0,0,Forced 2FA clunky and often doesn't work (I usually get bombarded with 'are you trying to sign in?' Notifications 10 minutes later). Forced 2FA also means I have to hope the app will work if I try to sign in on a desktop. This is an incredibly frustrating app lately. Please amend. I can barely get past the 'circle of death' lately. Do not ask me to call you. You have all the appropriate information here
95,2021-05-09 10:43:27,5,en,,0,I feel safe using that app
96,2023-01-20 21:49:15,3,en,20.45.1,0,Good sometimes at night it's hard to get onto the app
97,2021-12-19 23:45:13,1,en,20.34.3,0,"A good feature handled by your un organized team 2SV, i dont have access to my cell phone and i answered all the required questions to remove the device and i am trying on my laptop to login into the Scotia online account and it still asking me to download the app on my phone in order to remove, get your things straight Scotia"
98,2023-03-10 11:22:58,2,en,20.47.0,38,When paying bills the amount your paying displays behind the keyboard so you can't see what you typed. In the transfer funds sometimes pay bills is an option and sometimes it's not. Sometimes you have to close the app and reopen to get the option. Also bill payment section doesn't always show all your payee's you have to take extra steps to get the full list.
99,2022-12-29 11:00:27,5,en,20.45.1,0,Works well
100,2022-08-19 10:10:03,5,en,20.41.0,0,Lost .y scotia app
101,2022-02-06 18:50:33,1,en,20.34.3,2,"No credit score. Very poor design, what was wrong with the older app."
102,2021-11-22 09:39:18,3,en,,0,Idk
103,2021-07-05 14:04:27,5,en,20.27.0,0,Works great - thanks
104,2021-01-06 17:32:43,5,en,20.21.1,0,So easy to navigate this site! Thank you!
105,2024-01-02 08:25:01,5,en,2311.0.1,0,good service
106,2022-01-05 08:52:17,5,en,20.34.3,0,Works nice best bank app I've ever used
107,2021-12-25 11:51:51,5,en,20.34.3,0,Works well for me
108,2021-04-08 07:02:03,1,en,20.25.1,0,Every time I try and login it's ses try and connect to a different internet or get the latest version I have the latest version.
109,2021-12-16 14:48:20,4,en,20.34.3,0,Made depositing cheques so much easier
110,2022-01-12 16:52:32,1,en,20.34.3,1,Scotia has changed the cheque deposit by photo direct deposit. USED to work great now is almost impossible to use! Thanks a lot Scotia?
111,2021-10-08 11:25:27,4,en,20.31.1,0,Very good facility.  Pleased with everything. Breakfast was really nice.  Location was very good near restaurants in the area.      
112,2023-10-05 18:18:50,1,en,2309.0.0,0,"they are incapable of securing their app, and the hoops you need to jump through are not worth it, put your money in another bank that can secure it themselves"
113,2021-04-04 11:52:42,4,en,20.25.1,0,Various members of the staff went out of there way to make sure our request  during our four day stay.
114,2021-12-23 13:44:42,1,en,20.34.3,1,the old version was MUCH BETTER at depositing cheques this version is making me look at other banks
115,2023-03-02 09:44:37,5,en,20.47.0,0,Excellent job
116,2022-12-16 23:31:12,5,en,20.45.1,0,Very easy to deposit multiple checks and redeem $150 in Rewards. Awesome and smooth as silk. I love this app. Eliminates trip to the bank and exposure to COVID-19. I also just accepted a eTransfer and will set up autodeposit. 😁💖
117,2022-02-26 08:23:07,1,en,20.36.0,0,"Bad service. I had 2 accounts in 1985 Cottrelle Blvd branch. Because of bad behaviour of SHARAN RAI, I have closed my both accounts yesterday. Will never use Scotiabank again. 🙂"
118,2022-01-13 20:12:50,5,en,20.34.3,0,Good
119,2023-11-08 13:11:27,1,en,2310.0.1,2,"9 times out of 10 when I try to use the app I get an error message ""Something went wrong. Try that again."" Which typically means the app won't work for the day. Uninstalling and reinstalling that doesn't fix the issue. I don't even know why I bother with the app at all."
120,2023-02-14 13:54:20,5,en,,0,Functionality is excellent. Easy to find the services and info.
121,2023-10-09 15:44:53,5,en,2309.0.0,0,Has been trouble free lately.
122,2022-03-30 11:31:11,1,en,20.37.1,1,"The app is forcing me to sign up for 2 factor authentication, and refuses to let me check my ballance or do any banking without setting it up. Meaning the app is bassically cometely useless now."
123,2023-07-18 21:28:52,4,en,2306.0.1,0,Good banking app but it has a bug right now that keeps closing it and telling me to wait for the bank to update the app and fix it. Please hurry Scotiabank
124,2023-06-18 11:11:43,1,en,2305.1.0,2,"my card will not add to samsung wallet, google wallet, or apple wallet. when I call.. I get nothing but a run around. 6 different answers from 6 different employees. the left hand doesn't know what the right hand is doing in this company, and I'm about to switch providers after 15 years if this keeps up. such poor customer service."
125,2021-12-01 10:28:37,1,en,20.33.2,5,Having the 2step Verification has been a nightmare. Now I can't use both my phone and laptop for logging in. The notifications are not seen or sent right away on the phone when I'm using my laptop. This is the most buggy bank app. I think this will be the cause that I switch banks. This is such a deal breaker when you can no longer access your online account due to the new 2sv uodate.
126,2023-10-02 11:32:02,1,en,2309.0.0,1,I think that no app or company should be able to access or share any information pertaining to me or my devices.
127,2021-02-27 09:04:36,5,en,20.23.0,0,Easy to use
128,2022-01-23 21:15:30,5,en,20.34.4,0,Online
129,2023-03-03 00:25:17,1,en,,1,It's crashing every day
130,2021-11-09 21:06:39,5,en,20.31.1,0,Very easy
131,2021-04-14 12:15:32,5,en,20.25.1,0,The hotel was one of the nicer Days Inn I've been to.Comfy beds! The employees were very friendly!      
132,2021-10-28 11:03:43,5,en,20.31.1,0,The bezt
133,2021-01-20 13:47:31,5,en,20.21.1,0,"Great so far, though I don't wanna jinx it"
134,2022-05-06 12:47:19,1,en,20.38.0,2,"It's faster to walk to the bank and deposit my cheques in person, than fight with this terrible app."
135,2022-11-02 20:24:12,1,en,20.43.2,2,"Will not let me into my account. It just goes to sign-in screen, you sign-in then it ask you to unlock your phone and just goes between those two screens till it tells you an error occured. I have an android phone. I need this phone to work with this account cause Iam on the highway and need to receive e-transfers. Very frustrated."
136,2021-05-15 16:11:39,5,en,20.26.0,0,Very quick and very easy to use.
137,2021-01-13 00:26:39,4,en,20.21.1,0,👌🏼
138,2021-03-27 10:53:12,5,en,20.24.0,0,wonderful view of the Locks and perfect location to be able to walk to everything downtown. loved the price!
139,2023-02-10 11:18:13,5,en,20.46.2,0,Very close to city hospital for out of towners.Clean and close to shopping and the airport.Have been back twice.
140,2023-01-07 14:45:54,1,en,20.45.1,0,Terrible. The camera will not recognize checks on two different devices. Very frustrating.
141,2021-02-26 01:14:53,1,en,20.23.0,0,The app would actually work great if it worked more than once a week. There is a 6/7 day error.
142,2021-10-31 08:03:13,5,en,20.31.1,0,Works as it should.
143,2021-08-29 05:30:17,5,en,20.29.0,0,Great!
144,2021-07-13 15:25:29,5,en,20.28.0,0,Works great
145,2021-09-08 08:33:59,5,en,20.30.1,0,Great and user friendly
146,2023-09-25 12:53:17,1,en,2308.0.0,0,1 star is being generous
147,2023-09-12 14:48:47,4,en,2308.0.0,0,Except for the fact that their accounts costs are too high the Scotia Bank is not so bad to deal with. Thier online banking works very well.
148,2023-08-03 18:46:19,1,en,2307.0.0,2,can't send e-transfers ?
149,2023-03-05 12:51:25,4,en,20.47.0,0,wishing it was possible to print from my phone and/or tablet
150,2023-10-14 20:15:09,1,en,2309.0.0,0,"A horrible app design! It will lock you into screens and not let you continue until you accept. It is forcing me to reset my password, so I click the reset password button and it brings me to a page where it asks if I forgot my password... No, I didn't forget it, you are forcing me to change it."
151,2023-09-17 20:13:26,5,en,2308.0.0,0,meh
152,2022-04-29 11:57:51,1,en,20.37.2,0,"App works fine, just stay away from this bank"
153,2021-12-08 19:44:07,5,en,20.34.1,0,Gr8 super excellent procedure
154,2023-05-05 20:38:47,1,en,20.49.1,0,"Just like the bank, the app is also not good. It is continously asking to deactivate 2SV every time I try to login. I deactivated 2SV and still the app is asking to deactivate it. Developers should take care of this. This is a banking app."
155,2021-12-08 11:57:39,5,en,20.33.2,0,Easy peasy
156,2023-03-09 06:59:10,3,en,20.47.0,0,It doesn't work sometimes!
157,2022-11-23 14:21:40,2,en,20.44.2,3,"Depositing a cheque is impossible. I have a Samsung S21 FE and the camera is crisp as day. The auto-capture is not accurate at all; it guides you off the screen. I tried the manual capture as well, but the camera button does not work! I was looking for the right angle for over 5 minutes. I'm just trying to deposit a cheque, not build a career as a photographer. I deposited it with my other bank through their app and the experience was seamless. Please work on this feature, you're losing money."
158,2023-07-16 02:25:09,1,en,2306.0.1,1,App keeps crashing every time I open it
159,2023-07-12 12:24:05,2,en,2306.0.1,1,"So how am I supposed to pay off my card, or do literally anything with my banking, when the app crashes every time, and to use the website, I need to get 2FA through the app? Used to be alright (only reason its not 1 star), super buggy now"
