Review_ID,Review
5699,intuitive and easy to use
6054,love banking with scotia bank still friendly after all these years
3895,app keeps telling me my password is incorrect and im unable to access my account has been like this for days and days very disappointed and not pleased with this app especially considering i do all my banking online
7626,great app super easy to use
3601,cant use the app because the sv is not working it keeps on displaying and always says something went wrong when enabling it such an inconvenience 
2860,fix ur app just want to sign in my account pls
7525,new update is giving me so much trouble for deposite a cheque i tried so many times but every time it didnt recognize the picture nd always says try again
6075,quick and convenient
8090,recently it has been taking longer to load and when it finally does once i sign in it says page not loadingwait or close app very frustrating
2631,great
1456,the sv cant be disabled it breaks connection with rd party applications i use for cash rewards and it has limited features compared to other banks this is an awful application
5348,it telled me to so i did
2141,the deposit a cheque works great thank you
6629,the app worked fine until the recent design changesupdates now it doesnt show me any recent transactions under my accounts i can only check transactions using past account statements but thats useless when i cant see my transactions that happened since last statement i dont want to wait a whole month until the next statement is ready useless cant even search for transactions by namevendor as the search box doesnt work this app has gone from good to just terrible will uninstall
4676,so far so good im new to scotiabank and their app is impressing me the interface needs a few tweaks and as far as i can tell its missing a few functionalities it might be that i am not seeing them or they arent yet available on the app keep up the good work
6543,im constantly inundated with offers for a  credit card offer that only lasts for x ammount of time when the offer expires the hard sell starts all over again cant open the offers screen goes black and then nothing shows up slow to load external links freeze and crash other banks have better offers and apps looking into switch banks
4479,app crashes all the time takes  attempts to log in properly
7049,scotiabank bank fails to solve the international transfer issue to the uk
8334,the best bank i ever had easy to communicate and you great promotions
6254,cheque deposit is a waste of time by the time you get it to take the picture you probably could have walked it to the bank
6209,have to reset password every freaking time i own  accounts i will close all of my accounts because of your messed up app fix the reset password issue please 
5212,if you like waiting  minutes for customer service this is the bank for you
3927,simple straight forward can do all my banking anytime anywhere
532,app is down most of the time and i cant login to do everyday banking scotiabank also has terrible customer service
325,app hasnt been working for like  weeks
7876,vs is the worst and the whole reason im closing my scotia accounts and switching banks
2475,doesnt work more than it does updates make it worse usually one of the worst banking apps on the market
3029,works well
6706,good app easy to use updated features are great
6541,not  a complaintbeautiful clean inviting propertyrebecca at the front desk was great friendly helpful genuineshe likes her job breakfast was excellentrooms immaculate outstanding management was apparent
9050,easy to use
2746,works perfectly
4152,worst bank ever got ripped off by an atm and now my money wont transfer over 
6842,sv continually needs to be reset for some stupid reason everytime i log on i have to reverify perhaps ensuring something like this doesnt have bugs should be prioritized before releasing it to the public
5640,there are  methods to open an account and none of them work each one causes an infinite loading loop using a pc instead of a phone doesnt help either
635,i cant sign in i keep getting the something went wrong try again message if i cant get this to work then im closing this account and i just got it
3998,bank
7798,always crashing and not working
1887,app is now broken after latest update crashes after login soon as you swipe or do anything
7635,the only way i do my banking
1425,stayed one night friendly staff comfortable accomadations excellent breakfast pentry of parking and restaurants nearby plan to stay here on return trip      
7993,better then the last
6332,all good
7104,i am cofuse i just trancfa in mogo card  why delince when i could use
776,cant find autopay feature anymore
7562,hey developer can you please fix the bug in the scotiabank mobile application it has been crashing for the last  days asap i opened the home page and touched it anywhere on my screen the application stopped working and closed by itself
